timestamp(ms),myData.gz,myData.gy,varx,vary,
"1782220406.16","-0.79","-1.59",,,
"1782220406.169",,"-1.59",,,
"1782220406.17","-0.67","-1.4",,,
"1782220406.183","-0.67","-1.53",,,
"1782220406.198","-0.67","-1.53",,,
"1782220406.203","-0.67","-1.47",,,
"1782220406.207",,"-1.47",,,
"1782220406.208","-0.67",,,,
"1782220406.223","-0.73","-1.34",,,
"1782220406.229","-0.67","-1.59",,,
"1782220406.24","-0.67","-1.77",,,
"1782220406.25","-0.67","-1.77",,,
"1782220406.256","-0.61","-1.53",,,
"1782220406.271","-0.61","-1.71",,,
"1782220406.278","-0.61","-1.71",,,
"1782220406.291","-0.61","-1.59",,,
"1782220406.299","-0.67","-1.53",,,
"1782220406.305",,"-1.53",,,
"1782220406.306","-0.67",,,,
"1782220406.309","-0.49","-1.47",,,
"1782220406.321","-0.49","-1.47",,,
"1782220406.325","-0.85","-1.53",,,
"1782220406.334","-0.85","-1.53",,,
"1782220406.338","-0.79","-1.59",,,
"1782220406.349","-0.79","-1.59",,,
"1782220406.362","-0.61","-1.53",,,
"1782220406.365","-0.61","-1.47",,,
"1782220406.376","-0.61","-1.47",,,
"1782220406.379","-0.85","-1.34",,,
"1782220406.391","-0.85","-1.34",,,
"1782220406.393","-0.73","-1.4",,,
"1782220406.405","-0.73","-1.4",,,
"1782220406.409","-0.61","-1.53",,,
"1782220406.419","-0.61","-1.53",,,
"1782220406.449","-0.61","-1.59",,,
"1782220406.45","-0.73","-1.4",,,
"1782220406.461","-0.73","-1.4",,,
"1782220406.464",,"-1.71",,,
"1782220406.465","-0.55",,,,
"1782220406.475",,"-1.71",,,
"1782220406.476","-0.55",,,,
"1782220406.479","-0.67","-1.34",,,
"1782220406.49","-0.67","-1.34",,,
"1782220406.503",,"-1.34",,,
"1782220406.504","-0.49",,,,
"1782220406.506",,"-1.47",,,
"1782220406.507","-0.61",,,,
"1782220406.517",,"-1.47",,,
"1782220406.518","-0.61",,,,
"1782220406.522",,"-1.4",,,
"1782220406.523","-0.79",,,,
"1782220406.533","-0.79","-1.4",,,
"1782220406.536",,"-1.59",,,
"1782220406.537","-0.67",,,,
"1782220406.551","-0.67","-1.59",,,
"1782220406.552","-0.79","-1.71",,,
"1782220406.56","-0.79","-1.71",,,
"1782220406.579","-0.79","-1.53",,,
"1782220406.588","-0.79","-1.53",,,
"1782220406.596",,"-1.59",,,
"1782220406.597","-0.55",,,,
"1782220406.602",,"-1.59",,,
"1782220406.603","-0.55",,,,
"1782220406.606","-0.61","-1.22",,,
"1782220406.618","-0.61","-1.22",,,
"1782220406.621","-0.49","-1.53",,,
"1782220406.632","-0.49","-1.53",,,
"1782220406.65","-0.61","-1.47",,,
"1782220406.651","-0.67",,,,
"1782220406.659","-0.67","-1.47",,,
"1782220406.668","-0.67","-1.65",,,
"1782220406.673","-0.67","-1.65",,,
"1782220406.682","-0.55","-1.59",,,
"1782220406.693","-0.67","-1.59",,,
"1782220406.702","-0.67","-1.59",,,
"1782220406.716","-0.67","-1.4",,,
"1782220406.719","-0.61","-1.4",,,
"1782220406.729","-0.61","-1.4",,,
"1782220406.732","-0.67","-1.4",,,
"1782220406.744","-0.67","-1.4",,,
"1782220406.748","-0.61","-1.71",,,
"1782220406.758","-0.61","-1.71",,,
"1782220406.761","-0.73","-1.53",,,
"1782220406.772","-0.73","-1.53",,,
"1782220406.785",,"-1.53",,,
"1782220406.786","-0.67",,,,
"1782220406.789","-0.67","-1.59",,,
"1782220406.8",,"-1.59",,,
"1782220406.801","-0.67",,,,
"1782220406.805","-0.73","-1.47",,,
"1782220406.815","-0.73","-1.47",,,
"1782220406.818",,"-1.47",,,
"1782220406.819","-0.67",,,,
"1782220406.828","-0.67","-1.47",,,
"1782220406.837","-0.67","-1.47",,,
"1782220406.842","-0.67","-1.47",,,
"1782220406.856","-0.67","-1.59",,,
"1782220406.859","-0.79","-1.47",,,
"1782220406.87","-0.79","-1.47",,,
"1782220406.875","-0.67","-1.47",,,
"1782220406.884","-0.67","-1.47",,,
"1782220406.888","-0.61","-1.47",,,
"1782220406.899","-0.61","-1.47",,,
